Sample	imputed	true	ext_dosage	GWAS_SNP_dosage
Fake_sample_1	2/5	2/5	0.0	0.0
Fake_sample_2	2/8	2/8	0.0	0.0
Fake_sample_3	2/5	2/5	0.0	0.0
Fake_sample_4	5/11	5/13	0.0	1.0
Fake_sample_5	5/6	5/6	0.0	0.0
Fake_sample_6	5/8	5/8	0.0	1.0
Fake_sample_7	2/11	2/17	0.0	1.0
Fake_sample_8	5/8	5/8	0.0	1.0
Fake_sample_9	2/8	2/8	0.0	1.0
Fake_sample_10	2/6	2/6	0.0	0.0
Fake_sample_11	8/12	8/15	0.0	2.0
Fake_sample_12	2/8	2/8	0.0	1.0
Fake_sample_13	2/5	2/5	0.0	0.0
Fake_sample_14	6/30	6/202	1.0	1.0
Fake_sample_15	2/2	2/2	0.0	0.0
Fake_sample_16	6/30	6/222	1.0	1.0
Fake_sample_17	5/6	5/6	0.0	0.0
Fake_sample_18	2/2	2/2	0.0	0.0
Fake_sample_19	2/2	2/2	0.0	0.0
Fake_sample_20	8/12	7/358	0.0	1.0
Fake_sample_21	5/8	5/8	0.0	1.0
Fake_sample_22	2/30	2/732	1.0	1.0
Fake_sample_23	2/30	2/387	1.0	1.0
Fake_sample_24	2/5	2/5	0.0	1.0
Fake_sample_25	7/11	7/11	0.0	1.0
Fake_sample_26	2/12	2/10	0.0	1.0
Fake_sample_27	8/8	8/8	0.0	2.0
Fake_sample_28	2/8	2/8	0.0	0.0
Fake_sample_29	2/7	2/10	0.01	1.0
Fake_sample_30	2/8	2/8	0.0	1.0
Fake_sample_31	4/6	4/5	0.0	0.0
Fake_sample_32	6/30	6/9	0.63	1.0
Fake_sample_33	2/2	2/2	0.0	0.0
Fake_sample_34	2/6	2/6	0.0	0.0
Fake_sample_35	2/5	2/5	0.0	0.0
Fake_sample_36	5/8	5/8	0.03	1.0
Fake_sample_37	2/5	2/5	0.0	0.0
Fake_sample_38	2/2	2/2	0.0	0.0
Fake_sample_39	2/2	2/2	0.0	0.0
Fake_sample_40	2/10	2/10	0.02	1.0
Fake_sample_41	2/5	2/5	0.0	0.0
Fake_sample_42	2/2	2/2	0.0	0.0
Fake_sample_43	2/11	2/12	0.01	1.0
Fake_sample_44	2/2	2/2	0.0	0.0
Fake_sample_45	2/2	2/2	0.0	0.0
Fake_sample_46	2/5	2/5	0.0	0.0
Fake_sample_47	5/14	5/8	0.11	1.0
Fake_sample_48	2/8	2/13	0.0	1.0
Fake_sample_49	2/2	2/2	0.0	0.0
Fake_sample_50	2/2	2/2	0.0	0.0
Fake_sample_51	2/2	2/2	0.0	0.0
Fake_sample_52	8/14	8/14	0.0	2.0
Fake_sample_53	2/5	2/5	0.0	0.0
Fake_sample_54	2/2	2/2	0.0	0.0
Fake_sample_55	2/2	2/2	0.0	0.0
Fake_sample_56	5/11	5/11	0.0	1.0
Fake_sample_57	5/8	5/8	0.0	1.0
Fake_sample_58	5/14	5/15	0.08	1.0
Fake_sample_59	2/2	2/2	0.0	0.0
Fake_sample_60	2/2	2/2	0.0	0.0
Fake_sample_61	2/30	2/269	0.87	1.0
Fake_sample_62	2/2	2/2	0.0	0.0
Fake_sample_63	6/8	6/9	0.0	1.0
Fake_sample_64	2/5	2/5	0.0	0.0
Fake_sample_65	2/2	2/2	0.0	0.0
Fake_sample_66	2/30	2/688	0.93	1.0
Fake_sample_67	8/10	10/11	0.01	2.0
Fake_sample_68	2/2	2/2	0.0	0.0
Fake_sample_69	2/2	2/2	0.0	0.0
Fake_sample_70	2/5	2/5	0.0	0.0
Fake_sample_71	5/5	5/5	0.0	2.0
Fake_sample_72	2/8	2/8	0.0	1.0
Fake_sample_73	5/8	5/528	0.02	1.0
Fake_sample_74	2/11	2/7	0.01	1.0
Fake_sample_75	2/2	2/2	0.0	0.0
Fake_sample_76	2/5	2/5	0.0	1.0
Fake_sample_77	2/10	2/10	0.0	1.0
Fake_sample_78	2/2	2/2	0.0	0.0
Fake_sample_79	2/2	2/2	0.0	0.0
Fake_sample_80	2/4	2/4	0.0	0.0
Fake_sample_81	2/5	2/5	0.0	0.0
Fake_sample_82	2/2	2/2	0.0	0.0
Fake_sample_83	2/8	2/8	0.0	1.0
Fake_sample_84	5/23	5/335	0.5	1.0
Fake_sample_85	2/7	2/7	0.0	0.0
Fake_sample_86	2/2	2/2	0.0	0.0
Fake_sample_87	5/8	5/8	0.0	1.0
Fake_sample_88	2/12	2/10	0.0	1.0
Fake_sample_89	5/30	5/14	0.96	1.0
Fake_sample_90	2/5	2/5	0.0	0.0
Fake_sample_91	2/8	2/8	0.0	0.0
Fake_sample_92	2/6	2/6	0.0	0.0
Fake_sample_93	2/8	2/11	0.0	1.0
Fake_sample_94	2/5	2/5	0.0	0.0
Fake_sample_95	2/5	2/5	0.0	0.0
Fake_sample_96	2/5	2/5	0.0	0.0
